Name,URL,Photo,Description,Members
The Atlanta JavaScript Meetup Group,https://www.meetup.com/AtlantaJavaScript/,https://secure.meetupstatic.com/photos/event/2/7/8/b/600_451330123.jpeg,"Meet other local JavaScripters to share knowledge, to review the state of the art, or to dream up new applications.",4661
Freeside Atlanta,https://www.meetup.com/Freeside-Atlanta/,https://secure.meetupstatic.com/photos/event/2/5/a/4/600_451929636.jpeg,"Freeside is a Makerspace for hackers, designers, artists, students, and hobbyists in Atlanta, Georgia. We host lots of classes and projects to help people network and make their ideas a reality.

We are a non-profit organization with a space that features a classroom, 3D printers, an electronics lab, co-working space, a media lab, a workshop, and and two auto bays. Members and non-members can make use of the space for art, projects, and education.

Our projects include CNC, 3D Printing, Art, Robotics and UAVs, electronics, woodworking, biology, chemistry, and much more!

Links

Wiki: wiki.freesideatlanta.org (http://wiki.freesideatlanta.org/)

Blog: blog.freesideatlanta.org (http://blog.freesideatlanta.org/)

Mailing List: Freeside Atlanta (http://groups.google.com/forum/?fromgroups#!forum/freesideatlanta)

Our Space

We have 6,000 square feet of versatile space in the Metropolitan Warehouses.
You can have a look at our space on our Wiki (https://wiki.freesideatlanta.org/fs/Our_Space).",4633
PyAtl: Atlanta Python Programmers,https://www.meetup.com/python-atlanta/,https://secure.meetupstatic.com/photos/event/7/8/2/3/600_449910755.jpeg,"PyAtl meets every month in Atlanta for presentations and discussion about Python, the powerful and easy-to-use programming language. Every meeting tries to include something for beginners, and also to tackle advanced topics for seasoned developers. We are all learning, so don't be shy about attending, no matter your experience level! Come discover the feeling of community that emerges when people step forward from behind their blogs and keyboards to talk about their favorite programming language.

Participation is free, unless otherwise noted for special events.

If you're looking for Python programmers, we want to help! Please see our Consultants list (http://www.meetup.com/python-atlanta/pages/Consultants/) and Recruiter and Job Listing policy (http://www.meetup.com/python-atlanta/pages/Recruiter_and_Job_Listing_Policy/) for details.",4223
Atlanta Startup Founder 101,https://www.meetup.com/Atlanta-Startup-Founder-101/,https://secure.meetupstatic.com/photos/event/5/7/0/1/600_445102273.jpeg,"At Startup Founder 101, aspiring and early-stage startup founders meet once a month to hear candid talks by successful local entrepreneurs. Learn the best practices, strategies, and mistakes to avoid from those who have been there, done that. Then, if you’d like, you can share your ideas and plans in a relaxed setting to get personal and professional feedback.

The next Meetup will be announced shortly - join our group to get updated!",4047
Atlanta Web Design Group,https://www.meetup.com/atlantawebdesign/,https://secure.meetupstatic.com/photos/event/a/d/4/600_331022772.jpeg,"We aim to provide a place for Web professionals to meet new people, exchange ideas, learn new things, and have a little fun. We have several events each month: one for learning, and happy hours all over the metro area for socializing.

The group features some of the best talent in the Web industry from all over the country. You are sure to leave each event with something that you can apply in your daily work. It is a great place to learn from your peers and colleagues, build new relationships, and grow within the local web community.

Check out the schedule for more info and be sure to join us at the next Meetup. We look forward to meeting you.",3758
Data Science & Business Intelligence Society of Atlanta,https://www.meetup.com/Atlanta-Society-for-Business-Intelligence/,https://secure.meetupstatic.com/photos/event/a/6/0/6/600_442842502.jpeg,"The Data Science and Business Intelligence Society of Atlanta is a vendor-neutral organization created for the purpose of sharing knowledge and experiences relative to data science and business intelligence, exploratory and predictive analytics.

Find us on LinkedIn: www.linkedin.com/groups/Business-Intelligence-Society-Atlanta-6639804",3657
Atlanta Big Data User Group,https://www.meetup.com/BigData-Atlanta/,https://secure.meetupstatic.com/photos/event/e/4/5/4/600_271918452.jpeg,"The Atlanta Big Data Meetup group is an Atlanta based community of technology professionals dedicated to promoting the solutions, best practices, and innovative ideas needed for enterprise organizations to get the maximum value from the data their organizations are collecting every day. With over 2.5 quintillion bytes of data are created every day, we are at the epicenter of a ""data"" revolution. Through an exchange of BIG ideas, education, and fresh thinking from data professional, technologists, and enthusiasts, Atlanta Big Data aims to focus on providing interesting insights into issues related to data visualization, data in motion, data at rest, batch processing, and cover leading edge architectures, and solutions related to the Big Data to include security, privacy, analytics, and support from development to operations. The intent of Atlanta Big Data isn’t solely technical, the Group strives to discuss, discover, and communicate how Big Data solutions can be used to advance and support national security, energy, transportation, media, logistics, financial services, law enforcement, healthcare, and education and many other areas that serve our community’s interests.",3620
North Atlanta JavaScript and Web Dev,https://www.meetup.com/NorthAtlantaJavaScript/,https://secure.meetupstatic.com/photos/event/1/3/e/600_433980318.jpeg,"Welcome to the North Atlanta JavaScript User Group
We'll have presentations and hands-on labs on JavaScript and all things web dev!",3595
SEO & Wordpress,https://www.meetup.com/atlanta-wordpress-seo/,https://secure.meetupstatic.com/photos/event/2/d/d/e/600_427451742.jpeg,"SEO & Wordpress meetup (http://www.meetup.com/atlanta-wordpress-seo) group is designed to help small business owners to be found online.

Please check our group reviews.

If you are starting a business or need help promoting an existing business, this is the meetup to be in.

By attending our meetup, you will learn the following:

➤ Search Engine Optimization (SEO)

➤ Create/Edit and publish a Wordpress site

➤ Wordpress Plugins, Themes and Widgets

➤ Website tweaks and best practices

➤ Small Business Web Tools

➤ Google Services, Adwords, Adsense & Google Places

➤ Online Marketing

This information is sourced from first hand experience from a current WordPress designer and business owner.

Please join us (http://www.meetup.com/atlanta-wordpress-seo/join/), I promise you'll learn something new and come back for more!

Thank you, I look forward to meeting you soon.

Tony Rached

This meetup Sponsored by:

Diminished Value of Georgia (http://www.diminishedvalueofgeorgia.com)",3434
The Iron Yard - Atlanta,https://www.meetup.com/The-Iron-Yard-Atlanta/,https://secure.meetupstatic.com/photos/event/9/9/8/c/600_446859308.jpeg,"The Iron Yard exists to create exceptional growth and mentorship for people and their ideas through tech-focused education. We’re passionate about the communities we exist in and strive to be good citizens of the tech industry. Our doors are open to everyone who wants to learn about technology, from kids to people who want to change careers. Come to one of our events to see what all of the excitement is about.",3330
